articular
-48.067,-98.127,142.863,-218.505,-41.228,109.309,15
-47.974,-99.782,142.012,-216.010,-41.322,109.324,15
-47.692,-101.391,141.180,-213.604,-41.602,109.370,15
-47.220,-102.943,140.377,-211.306,-42.071,109.446,15
-46.556,-104.427,139.611,-209.132,-42.731,109.550,15
-45.696,-105.833,138.888,-207.099,-43.586,109.682,15
-44.637,-107.150,138.216,-205.222,-44.639,109.838,15
-43.377,-108.367,137.600,-203.515,-45.893,110.017,15
-41.914,-109.473,137.047,-201.992,-47.349,110.215,15
-40.249,-110.456,136.561,-200.665,-49.007,110.430,15
-38.385,-111.305,136.146,-199.548,-50.862,110.657,15
-36.332,-112.010,135.806,-198.651,-52.906,110.895,15
-34.105,-112.559,135.544,-197.982,-55.126,111.138,15
-31.722,-112.946,135.362,-197.551,-57.499,111.384,15
-29.214,-113.163,135.262,-197.361,-59.999,111.630,15
-26.612,-113.207,135.244,-197.415,-62.592,111.872,15
-23.956,-113.076,135.309,-197.714,-65.240,112.108,15
-21.289,-112.773,135.455,-198.253,-67.898,112.334,15
-18.656,-112.302,135.681,-199.027,-70.524,112.550,15
-16.100,-111.670,135.985,-200.026,-73.072,112.753,15
-13.664,-110.886,136.364,-201.240,-75.502,112.941,15
-11.384,-109.961,136.816,-202.657,-77.775,113.113,15
-9.293,-108.907,137.336,-204.261,-79.861,113.268,15
-7.417,-107.734,137.919,-206.040,-81.732,113.406,15
-5.778,-106.454,138.561,-207.977,-83.366,113.525,15
-4.392,-105.081,139.256,-210.055,-84.749,113.626,15
-3.272,-103.624,139.998,-212.260,-85.866,113.706,15
-2.425,-102.096,140.780,-214.574,-86.711,113.767,15
-1.858,-100.507,141.594,-216.980,-87.277,113.808,15
-1.573,-98.869,142.434,-219.459,-87.561,113.828,15
-1.573,-97.194,143.291,-221.991,-87.561,113.828,15
-1.858,-95.492,144.156,-224.556,-87.277,113.808,15
-2.425,-93.779,145.019,-227.131,-86.711,113.767,15
-3.272,-92.068,145.872,-229.691,-85.866,113.706,15
-4.392,-90.376,146.703,-232.207,-84.749,113.626,15
-5.778,-88.723,147.503,-234.650,-83.367,113.525,15
-7.417,-87.129,148.261,-236.986,-81.732,113.406,15
-9.293,-85.620,148.965,-239.178,-79.861,113.268,15
-11.384,-84.220,149.606,-241.188,-77.776,113.113,15
-13.664,-82.958,150.174,-242.978,-75.502,112.941,15
-16.100,-81.863,150.657,-244.506,-73.072,112.753,15
-18.656,-80.961,151.049,-245.736,-70.524,112.550,15
-21.289,-80.278,151.342,-246.636,-67.898,112.334,15
-23.956,-79.835,151.531,-247.177,-65.240,112.108,15
-26.611,-79.644,151.611,-247.345,-62.592,111.872,15
-29.213,-79.713,151.582,-247.131,-59.999,111.630,15
-31.722,-80.039,151.445,-246.540,-57.499,111.384,15
-34.104,-80.612,151.201,-245.587,-55.126,111.138,15
-36.332,-81.415,150.857,-244.296,-52.907,110.895,15
-38.385,-82.425,150.418,-242.701,-50.862,110.657,15
-40.249,-83.615,149.892,-240.838,-49.007,110.430,15
-41.914,-84.958,149.288,-238.749,-47.349,110.215,15
-43.377,-86.424,148.616,-236.474,-45.893,110.017,15
-44.637,-87.987,147.886,-234.056,-44.639,109.838,15
-45.696,-89.621,147.109,-231.532,-43.586,109.682,15
-46.556,-91.302,146.294,-228.940,-42.731,109.550,15
-47.220,-93.011,145.452,-226.312,-42.071,109.446,15
-47.692,-94.728,144.593,-223.679,-41.602,109.370,15
-47.974,-96.438,143.727,-221.069,-41.322,109.324,15
-48.067,-98.127,142.863,-218.505,-41.228,109.309,15
